Player,Position,Age,Team,Games,Minutes,PER,TS,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,ORtg,DRtg,OWS,DWS,WS
Kevin Durant,SF,25,OKC,81,3122,29.8,0.635,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33,123,104,14.8,4.4,19.2
LeBron James,PF,29,MIA,77,2902,29.3,0.649,3.6,18.9,11.5,32,2.2,0.8,14.4,31,121,105,12.3,3.7,15.9
Kevin Love,PF,25,MIN,77,2797,26.9,0.591,8.5,29.5,18.7,21.4,1,1,10.3,28.8,120,104,10.6,3.7,14.3
Anthony Davis,C,20,NOP,67,2358,26.5,0.582,10,23.3,16.6,8,2,6.7,8.3,25.2,119,104,7.2,3.2,10.4
DeMarcus Cousins,C,23,SAC,71,2298,26.1,0.555,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,107,101,4.1,3.8,7.9
Chris Paul,PG,28,LAC,62,2171,25.9,0.58,2,11.4,6.9,48.9,3.5,0.1,12.4,23.7,125,103,9,3.2,12.2
Russell Westbrook,PG,25,OKC,46,1412,24.7,0.545,4.6,15.9,10.5,40.2,3.1,0.4,16.1,34.4,108,102,3,2.3,5.2
Carmelo Anthony,PF,29,NYK,77,2982,24.4,0.561,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,113,108,8.1,2.5,10.7
Stephen Curry,PG,25,GSW,78,2846,24.1,0.61,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,117,104,9.3,4,13.4
Blake Griffin,PF,24,LAC,80,2863,23.9,0.583,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29,114,103,8.1,4.1,12.2
Dirk Nowitzki,PF,35,DAL,80,2628,23.6,0.603,1.8,20,10.9,14.2,1.4,1.4,7.5,26.9,120,108,8.6,2.3,10.9
James Harden,SG,24,HOU,73,2777,23.5,0.618,2.6,10.7,6.9,27.3,2.1,0.8,15,27.8,120,107,10.1,2.7,12.8
Brandan Wright,C,26,DAL,58,1077,23.5,0.695,11,15.1,13.1,4.7,1.5,4.2,8.5,17.4,135,107,4.1,1,5.1
Al Jefferson,C,29,CHA,73,2553,22.7,0.532,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,105,100,3.1,4.7,7.8
Andre Drummond,C,20,DET,81,2619,22.6,0.599,17.5,27.7,22.3,2.2,2,4,10.7,16.7,121,104,6.4,3.5,9.9
Dwyane Wade,SG,32,MIA,54,1775,22,0.588,4.4,12.3,8.5,25.5,2.3,1.4,15.5,27.9,110,106,3.5,2,5.5
LaMarcus Aldridge,PF,28,POR,69,2498,21.8,0.507,7.2,25.5,16.5,13,1.3,1.9,7.2,29.8,108,104,4,3.5,7.5
Goran Dragic,SG,27,PHO,76,2668,21.4,0.604,2.9,7.4,5.2,28.1,2,0.6,14.3,24.5,119,109,8.4,2,10.3
Tim Duncan,C,37,SAS,74,2158,21.3,0.535,8.6,28.3,18.8,16,1,4.6,13.2,25.2,106,98,2.8,4.6,7.4
Dwight Howard,C,28,HOU,71,2396,21.3,0.6,11.4,27.9,20.1,9.3,1.2,4,17.5,24,109,101,4,4.1,8
Nikola Pekovic,C,28,MIN,54,1663,20.7,0.582,13.1,17.6,15.3,5.2,0.9,1.1,9.4,22.9,117,108,4.3,1.5,5.9
Isaiah Thomas,PG,24,SAC,72,2497,20.5,0.574,2.1,7.5,4.7,32.2,1.9,0.3,14.3,26.3,114,111,6.4,1.3,7.7
Paul George,SF,23,IND,80,2898,20.1,0.555,2.6,17.7,10.5,17.9,2.7,0.6,12.5,28.3,107,97,4.4,6.4,10.8
Kyrie Irving,PG,21,CLE,71,2496,20.1,0.533,2.3,9.5,5.8,31.6,2.2,0.8,12.1,28.2,109,108,4.6,2.1,6.7
Kyle Lowry,PG,27,TOR,79,2862,20.1,0.567,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,118,106,8.4,3.3,11.7
Mike Conley,PG,26,MEM,73,2446,20,0.545,2,8.4,5.2,30.1,2.4,0.4,11.5,24.6,113,106,5.5,2.7,8.2
Manu Ginobili,SG,36,SAS,68,1550,20,0.59,2.3,12,7.3,29,2.3,0.8,16.4,24.7,112,103,3.3,2.4,5.7
