RK,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG_,OBP,SLG,OPS
1,DET,1B,119,429,64,145,28,1,18,76,77,82,1,1,0.338,0.44,0.534,0.974
2,MIA,2B,145,615,88,205,24,8,4,46,25,91,58,20,0.333,0.359,0.418,0.776
3,WSH,RF,153,521,118,172,38,1,42,99,124,131,6,4,0.33,0.46,0.649,1.109
4,ARI,1B,159,567,103,182,38,2,33,110,118,151,21,5,0.321,0.435,0.57,1.005
5,BOS,SS,156,613,84,196,35,3,7,81,32,101,10,2,0.32,0.355,0.421,0.776
6,SF,C,150,557,74,177,28,0,19,95,56,52,2,0,0.318,0.379,0.47,0.849
7,ARI,CF,157,609,111,192,39,6,20,76,53,89,39,7,0.315,0.367,0.498,0.865
8,WSH,3B,139,535,75,168,25,1,9,56,45,70,2,2,0.314,0.375,0.415,0.79
9,CIN,1B,158,545,95,171,33,2,29,80,143,135,11,3,0.314,0.459,0.541,1
10,HOU,2B,154,638,86,200,40,4,15,66,33,67,38,13,0.313,0.353,0.459,0.812
11,ARI,LF,149,462,61,144,26,10,17,78,44,107,9,4,0.312,0.371,0.522,0.893
12,CLE,LF,137,529,68,164,45,0,15,84,60,51,15,1,0.31,0.379,0.48,0.859
13,KC,CF,140,551,101,169,34,6,16,72,37,98,28,6,0.307,0.361,0.477,0.838
14,TOR,LF,152,592,84,181,22,7,2,45,32,64,31,7,0.306,0.342,0.377,0.719
15,TEX,1B,158,613,78,187,28,0,23,98,64,88,0,0,0.305,0.378,0.463,0.841
16,ARI,RF,132,524,73,159,27,5,6,45,26,58,21,10,0.303,0.338,0.408,0.747
17,CLE,2B,141,565,86,171,43,7,9,52,57,107,12,8,0.303,0.372,0.451,0.823
18,SEA,RF,152,590,90,178,22,1,44,93,59,164,3,2,0.302,0.369,0.566,0.936
19,COL,2B,150,564,85,170,21,5,6,61,50,107,23,3,0.301,0.358,0.388,0.746
20,MIA,LF,126,476,63,143,30,2,7,44,47,101,16,5,0.3,0.366,0.416,0.782
21,LAA,CF,159,575,104,172,32,6,41,90,92,158,11,7,0.299,0.402,0.59,0.991
22,KC,1B,158,599,98,178,33,5,18,93,61,108,7,3,0.297,0.363,0.459,0.822
23,PHI,CF,147,495,64,147,30,3,8,41,28,129,16,8,0.297,0.344,0.418,0.762
24,TOR,3B,158,620,122,184,41,2,41,123,73,133,6,0,0.297,0.371,0.568,0.939
25,DET,2B,154,624,94,185,35,7,11,73,43,80,10,6,0.296,0.342,0.428,0.77
26,ATL,RF,156,612,73,181,38,1,3,53,70,83,2,1,0.296,0.37,0.376,0.746
27,SF,3B,149,573,77,169,28,6,12,77,30,96,12,0,0.295,0.334,0.428,0.762
28,PIT,C,130,451,56,133,17,5,7,43,46,94,1,1,0.295,0.37,0.401,0.771
29,OAK,CF,125,520,70,153,18,9,5,42,26,81,26,8,0.294,0.334,0.392,0.726
30,CIN,2B,148,588,69,173,19,2,12,70,27,68,23,3,0.294,0.328,0.395,0.723
31,STL,RF,154,547,79,160,33,4,13,60,56,90,23,3,0.293,0.359,0.439,0.797
32,PIT,CF,157,566,91,165,36,3,23,96,98,133,11,5,0.292,0.401,0.488,0.889
33,BOS,CF,145,597,92,174,42,8,18,77,46,82,21,6,0.291,0.341,0.479,0.82
34,NYM,LF,159,633,101,184,42,6,35,105,33,141,7,5,0.291,0.328,0.542,0.87
35,BAL,LF,155,547,83,159,36,5,14,51,28,92,14,4,0.291,0.328,0.452,0.78
36,CWS,1B,154,613,88,178,34,3,30,101,39,140,0,0,0.29,0.347,0.502,0.85
37,KC,DH,158,569,81,165,41,2,22,106,58,103,0,0,0.29,0.362,0.485,0.847
38,MIA,3B,129,500,52,144,22,2,9,63,37,68,1,0,0.288,0.338,0.394,0.732
39,TEX,3B,143,567,83,163,32,4,18,83,41,65,1,0,0.287,0.334,0.453,0.788
40,COL,3B,157,616,97,177,43,4,42,130,34,110,2,5,0.287,0.323,0.575,0.898
41,CWS,CF,153,610,98,175,28,9,14,56,58,131,18,8,0.287,0.361,0.431,0.792
42,SEA,2B,156,624,82,179,34,1,21,79,43,107,2,6,0.287,0.334,0.446,0.779
43,PIT,LF,153,579,84,166,30,2,19,81,27,123,30,10,0.287,0.337,0.444,0.78
44,COL,CF,157,614,93,176,31,9,17,58,46,112,43,13,0.287,0.347,0.45,0.797
45,BAL,3B,162,633,102,181,30,1,35,86,70,111,20,8,0.286,0.359,0.502,0.861
46,MIL,RF,140,506,87,144,27,3,25,84,54,115,24,4,0.285,0.356,0.498,0.854
47,KC,3B,147,549,73,156,34,1,22,82,43,76,1,2,0.284,0.348,0.47,0.817
48,DET,RF,158,596,93,168,33,2,38,102,53,178,3,2,0.282,0.344,0.535,0.879
49,TB,2B,153,540,69,152,33,2,17,68,55,111,9,4,0.281,0.359,0.444,0.804
50,NYM,2B,130,499,56,140,38,2,14,73,31,38,2,2,0.281,0.322,0.449,0.77
51,SF,1B,137,492,73,138,33,5,18,68,56,147,9,3,0.28,0.356,0.478,0.834
52,TOR,SS,128,486,77,136,27,0,17,70,38,114,1,0,0.28,0.337,0.44,0.777
53,BOS,2B,129,454,56,127,27,6,2,45,46,97,8,1,0.28,0.349,0.379,0.727
54,TOR,CF,159,586,76,163,31,2,12,56,28,85,25,4,0.278,0.314,0.399,0.713
54,CHC,1B,160,586,94,163,38,3,31,101,78,105,17,6,0.278,0.387,0.512,0.899
56,TEX,1B,132,471,51,131,27,0,23,85,32,112,1,0,0.278,0.33,0.482,0.812
57,MIL,1B,149,502,72,139,32,0,20,87,66,100,0,0,0.277,0.36,0.46,0.82
58,TOR,1B,146,528,94,146,31,0,39,111,77,98,3,2,0.277,0.372,0.557,0.929
59,KC,2B,126,467,76,129,36,3,13,56,62,56,3,4,0.276,0.359,0.45,0.809
60,NYY,RF,133,478,57,132,34,1,19,67,45,85,0,0,0.276,0.337,0.471,0.808
