position,lane,shuttle,threequartersprint,verticalleap,maxverticalleap ,bench 
SF-SG,11.13,2.88,3.22,38,43,12
PF,11.21,3.35,3.58,31.5,35.5,9
PG,10.71,3.05,3.26,32,41,10
SG,10.27,2.75,3.28,27.5,34.5,8
SF-SG,10.94,3.29,3.18,27.5,34.5,4
PF-C,11.6,3.3,3.47,29,32,9
SG,10.58,3.08,3.2,37.5,44,13
PG,11.44,3.41,3.38,24.5,31,14
PF,12.22,3.53,3.2,28.5,34.5,12
SF,10.64,2.96,3.28,25.5,34.5,5
SG,10.66,3.02,3.32,27,35,10
SF,11.64,3.15,3.3,28.5,31.5,11
PG-SG,11.41,3.12,3.25,28,34,19
SG,,,3.27,28.5,34.5,1
PG,11.2,,3.34,26.5,33,
SG,10.56,2.93,3.44,26,28.5,1
SG-PG,10.81,,3.51,28.5,34,9
SF,10.41,3.19,3.12,32,38,13
PF-SF,10.95,3.12,3.51,25.5,31,
PF,11.24,3.31,3.32,32.5,36,15
SG,10.87,2.91,3.26,27.5,33.5,1
PF,11.19,3.06,3.26,33.5,37.5,13
C-PF,11.83,3.08,3.38,24.5,31.5,7
C,11.76,2.94,3.62,22.5,25,4
PG,11.84,2.95,3.32,26.5,32.5,2
PF,11.2,2.97,3.27,28.5,35,19
PG,10.95,3.09,3.3,26,31.5,7
PF,11.72,3.13,3.28,33,37.5,9
PF,10.93,3.01,3.25,29,37.5,10
SF-SG,11.09,3.12,3.32,34.5,37,7
PG,10.9,2.93,3.28,29.8,35.5,0
SG,10.91,3.1,3.32,25,31,15
PF,11.78,3.28,3.56,25,31.5,5
SG,10.69,3.2,3.2,32.5,40.5,5
SG-SF,11.88,-,3.18,34,39.5,9
PG,10.63,2.81,3.2,33.5,39.5,6
PG-SG,10.84,2.84,3.15,33,38,7
PG,10.47,3.15,3.13,34,43,8
PF,11.84,3.24,3.47,26,30.5,9
PG-SG,10.78,2.88,3.02,34.5,43,3
SF-SG,10.97,3.2,3.27,34.5,40,12
SG,11.4,3.1,3.21,28,34,5
PF,11.25,3.41,3.35,30.5,37,6
SG,10.56,3.05,3.2,31.5,39,15
PF-SF,11.56,3.15,3.38,30,35,7
PF,12.26,3.54,3.5,25.5,28.5,8
PG,11.16,3.5,3.29,29.5,31,4
SG-PG,10.75,3.11,3.25,34.5,40.5,9
PG,11.34,3.16,3.45,28,34,6
