Team,W,L,PCT,PF,PA,Conference,7WinsUp
Carolina Panthers,14,0,1,449,278,1,1
Arizona Cardinals,12,2,0.857,445,269,1,1
New England Patriots,12,2,0.857,435,269,0,1
Cincinnati Bengals,11,3,0.786,378,243,0,1
Green Bay Packers,10,4,0.714,347,265,1,1
Denver Broncos,10,4,0.714,308,259,0,1
Seattle Seahawks,9,5,0.643,370,248,1,1
Kansas City Chiefs,9,5,0.643,365,257,0,1
Pittsburgh Steelers,9,5,0.643,378,287,0,1
Minnesota Vikings,9,5,0.643,296,272,1,1
New York Jets,9,5,0.643,344,272,0,1
Washington Redskins,7,7,0.5,316,332,1,1
Houston Texans,7,7,0.5,275,301,0,1
Atlanta Falcons,7,7,0.5,302,312,1,1
Oakland Raiders,6,8,0.429,319,356,0,0
St. Louis Rams,6,8,0.429,241,294,1,0
Buffalo Bills,6,8,0.429,341,336,0,0
Tampa Bay Buccaneers,6,8,0.429,311,353,1,0
Philadelphia Eagles,6,8,0.429,318,362,1,0
Indianapolis Colts,6,8,0.429,285,372,0,0
New York Giants,6,8,0.429,373,358,1,0
New Orleans Saints,5,8,0.385,323,397,1,0
Jacksonville Jaguars,5,9,0.357,343,380,0,0
Miami Dolphins,5,9,0.357,278,361,0,0
Chicago Bears,5,9,0.357,289,352,1,0
Detroit Lions,4,9,0.308,267,336,1,0
Baltimore Ravens,4,10,0.286,292,360,0,0
San Diego Chargers,4,10,0.286,280,348,0,0
San Francisco 49ers,4,10,0.286,202,339,1,0
Dallas Cowboys,4,10,0.286,246,324,1,0
Cleveland Browns,3,11,0.214,253,387,0,0
Tennessee Titans,3,11,0.214,269,359,0,0
