NAME,Year,POS,40 SPEED,3CONE,SHUTTLE,VERTICAL,BROAD,BENCH
Cyrus Kouandjio,4,OT,5.59,7.71,4.84,27.5,96,21
Gabe Jackson,4,OG,5.51,8.25,4.78,29,108,30
Chris Watt,4,OG,5.5,,,,,29
David Yankey,4,OG,5.48,7.81,4.86,28.5,103,22
Ryan Carrethers,4,DT,5.47,7.89,,26,88,32
Louis Nix III,4,DT,5.42,8.29,,25.5,97,
Dakota Dozier,4,OT,5.42,8.14,4.89,24,101,23
Jack Mewhort,4,OT,5.37,7.79,4.64,26,101,28
Matt Feiler,4,OT,5.37,8.13,4.86,26.5,103,36
Cyril Richardson,4,OG,5.36,7.7,4.83,25.5,91,25
Will Sutton,4,DT,5.36,7.93,,28.5,99,24
Matt Armstrong,4,C,5.36,,,,,
Morgan Moses,4,OT,5.35,7.93,4.95,21.5,106,
DaQuan Jones,4,DT,5.35,7.73,,27.5,101,21
Brandon Linder,4,OG,5.35,,,26.5,100,30
Charles Leno,4,OT,5.35,7.57,4.4,29,108,21
Ja'Wuan James,4,OT,5.34,7.42,4.56,29,103,22
Jon Halapio,4,OG,5.34,8.26,4.83,21.5,100,
Matt Paradis,4,C,5.34,7.6,4.46,26,103,23
Cornelius Lucas,4,OT,5.33,,,,,
John Urschel,4,OG,5.31,7.55,4.47,29,102,30
Anthony Steen,4,OG,5.3,,,,,
Bryan Stork,4,C,5.3,,,,,
Antonio Richardson,4,OT,5.3,,,24.5,,36
Zach Mettenberger,4,QB,5.3,,,,,
James Hurst,4,OT,5.3,,,,,
Conor Boffeli,4,OG,5.3,7.44,4.61,25,101,21
Cairo Santos,4,PK,5.3,,,,,
Travis Swanson,4,C,5.28,7.73,4.65,26,95,20
Cameron Fleming,4,OT,5.28,8.24,5,23.5,97,26
Justin Ellis,4,DT,5.27,7.81,,28,92,25
Jeff Mathews,4,QB,5.26,,,25.5,105,
Shamar Stephen,4,DT,5.25,,,30.5,103,25
Corey Linsley,4,C,5.25,,,27,,36
Kadeem Edwards,4,OG,5.25,7.95,4.82,27,99,26
Anthony Johnson,4,DT,5.24,7.93,,24.5,102,20
Mike Pennel,4,DT,5.23,7.94,,28.5,102,23
Josh Mauro,4,DE,5.21,7.43,,32,116,21
Spencer Long,4,OG,5.2,,,,,
Zack Martin,4,OT,5.2,7.65,4.59,,106,23
Tyler Larsen,4,C,5.2,8.22,4.7,23.5,102,36
Ryan Groy,4,OG,5.19,7.49,4.47,26.5,101,26
Justin Britt,4,OT,5.19,8.14,4.69,27.5,100,23
Russell Bodine,4,C,5.18,8.26,4.66,29,109,42
James Stone,4,C,5.17,8.16,4.63,27.5,105,22
Zach Fulton,4,OG,5.16,7.87,5.16,24.5,98,25
Eathyn Manumaleuna,4,DT,5.16,7.78,,28,101,29
Jonotthan Harrison,4,C,5.15,7.97,4.86,27,113,27
Robert Thomas,4,DT,5.15,,,,,32
Shayne Skov,4,ILB,5.14,,,,,
Gabe Ikard,4,C,5.13,7.3,4.37,26,103,22
Ego Ferguson,4,DT,5.12,,,,,24
Wesley Johnson,4,C,5.11,7.4,4.64,29,111,26
Deandre Coleman,4,DT,5.1,,,,,24
Chris Boswell,4,PK,5.1,,,,,
Weston Richburg,4,C,5.1,7.93,4.63,25.5,106,25
Kerry Hyder,4,DT,5.1,7.23,,29.5,108,20
Tenny Palepoi,4,DT,5.1,7.67,,30.5,111,31
Brandon Thomas,4,OT,5.09,8.13,4.83,29,98,35
