Player,PA,PC,PC %,CA,CC,Team
Maxwell,402,377,94%,12,4,Paris
Gerard Piqué,372,352,95%,0,0,Barcelona
David Alaba,362,343,95%,6,1,Bayern
Jérôme Boateng,349,314,90%,0,0,Bayern
Philipp Lahm,344,313,91%,11,6,Bayern
Javier Mascherano,330,296,90%,0,0,Barcelona
Chris Smalling,328,307,94%,0,0,Man. United
Thiago Silva,322,312,97%,0,0,Paris
Dani Alves,314,279,89%,14,6,Barcelona
Bacary Sagna,303,272,90%,10,3,Man. City
Darijo Srna,303,259,85%,36,9,Shakhtar Donetsk
Timothée Kolodziejczak,293,275,94%,1,0,Sevilla
Héctor Moreno,288,255,89%,0,0,PSV
Olexandr Kucher,284,256,90%,1,0,Shakhtar Donetsk
Aleksandar Dragovic,283,250,88%,0,0,Dynamo Kyiv
Giorgio Chiellini,279,258,92%,0,0,Juventus
Leonardo Bonucci,278,251,90%,1,0,Juventus
Yevhen Khacheridi,270,245,91%,0,0,Dynamo Kyiv
Jordi Alba,262,233,89%,5,2,Barcelona
Jardel,258,245,95%,1,0,Benfica
Yaroslav Rakitskiy,255,220,86%,5,3,Shakhtar Donetsk
Jeffrey Bruma,250,224,90%,0,0,PSV
Marcos Rojo,248,211,85%,16,2,Man. United
Hakan Balta,248,211,85%,0,0,Galatasaray
Lasse Nielsen,247,220,89%,0,0,Gent
Naldo,246,218,89%,1,1,Wolfsburg
Nana Asare,244,223,91%,5,1,Gent
Diego Godín,237,216,91%,0,0,Atlético
Bruno Martins Indi,233,225,97%,1,1,Porto
Oscar Wendt,233,211,91%,7,2,Mönchengladbach
Jonathan Tah,232,205,88%,0,0,Leverkusen
César Azpilicueta,232,193,83%,8,3,Chelsea
Eliseu,225,184,82%,9,2,Benfica
Wendell,225,178,79%,5,0,Leverkusen
Luisão,224,203,91%,1,0,Benfica
Dante,224,195,87%,0,0,Wolfsburg
Stefan Mitrovic,220,203,92%,0,0,Gent
Christophe Jallet,220,186,85%,17,4,Lyon
Sergei Ignashevich,214,179,84%,1,1,CSKA Moskva
Benoît Trémoulinas,212,170,80%,28,5,Sevilla
Nicolás Otamendi,209,188,90%,0,0,Man. City
Maxi Pereira,205,173,84%,10,1,Porto
Iván Marcano,204,177,87%,0,0,Porto
Jérémy Taravel,201,168,84%,0,0,Dinamo Zagreb
Koke,198,150,76%,15,2,Sevilla
Dani Carvajal,196,180,92%,15,2,Real Madrid
Raphaël Varane,195,179,92%,0,0,Real Madrid
Andrea Barzagli,187,167,89%,5,2,Juventus
Ricardo Rodriguez,185,164,89%,8,3,Wolfsburg
David Luiz,184,179,97%,0,0,Paris
Tal Ben Haim,184,165,90%,0,0,M. Tel-Aviv
José Gayà,184,159,86%,16,3,Valencia
Evgeni Postnikov,183,160,87%,1,0,Astana
Juanfran,183,158,86%,18,5,Atlético
Juan Bernat,181,167,92%,7,0,Bayern
Andreas Christensen,180,166,92%,0,0,Mönchengladbach
Joshua Brenet,176,152,86%,7,2,PSV
Thomas Vermaelen,175,171,98%,0,0,Barcelona
Samuel Umtiti,175,155,89%,2,1,Lyon
Miguel Layún,175,144,82%,25,8,Porto
João Cancelo,173,137,79%,24,4,Valencia
Anton Tinnerholm,173,121,70%,8,1,Malmö
Kostas Manolas,170,152,89%,0,0,Roma
André Almeida,169,144,85%,2,1,Benfica
Mário Fernandes,169,140,83%,8,3,CSKA Moskva
Mapou Yanga-Mbiwa,168,149,89%,0,0,Lyon
Eytan Tibi,166,151,91%,3,0,M. Tel-Aviv
Laurent Koscielny,165,155,94%,0,0,Arsenal
Branko Ilic,165,139,84%,2,1,Astana
Aleksandar Kolarov,165,134,81%,21,8,Man. City
Gabriel,164,156,95%,0,0,Arsenal
Gregory van der Wiel,164,149,91%,13,3,Paris
Abdul Baba Rahman ,162,150,93%,8,3,Chelsea
Shkodran Mustafi,160,141,88%,1,0,Valencia
José María Giménez,160,138,86%,0,0,Atlético
Dimitris Siovas,156,129,83%,0,0,Olympiacos
Giulio Donati,155,122,79%,8,3,Leverkusen
Kyriakos Papadopoulos,153,140,92%,0,0,Leverkusen
Gary Cahill,152,145,95%,0,0,Chelsea
Sergio Ramos,152,135,89%,1,0,Real Madrid
Lucas Digne,152,124,82%,18,5,Roma
Jorrit Hendrix,151,130,86%,0,0,PSV
Danilo Silva,151,117,77%,16,3,Dynamo Kyiv
Nacho,148,136,92%,1,0,Real Madrid
Marin Anicic,148,129,87%,0,0,Astana
