Player,PA,PC,PC %,CA,CC,Team
Manuel Neuer,187,177,95%,0,0,Bayern
Yann Sommer,181,122,67%,0,0,Mönchengladbach
Diego Benaglio,173,153,88%,0,0,Wolfsburg
Fernando Muslera,172,117,68%,0,0,Galatasaray
Eduardo,167,101,60%,0,0,Dinamo Zagreb
Jeroen Zoet,166,129,78%,0,0,PSV
Olexandr Shovkovskiy,147,125,85%,0,0,Dynamo Kyiv
Andriy Pyatov,144,126,88%,0,0,Shakhtar Donetsk
Wojciech Szczesny,136,105,77%,0,0,Roma
Sergei Chernik,136,68,50%,0,0,BATE
Marc-André ter Stegen,134,130,97%,0,0,Barcelona
Iker Casillas,134,99,74%,0,0,Porto
Matz Sels,133,99,74%,0,0,Gent
Kevin Trapp,131,112,85%,0,0,Paris
Sergio Rico,130,113,87%,0,0,Sevilla
Igor Akinfeev,129,73,57%,0,0,CSKA Moskva
Johan Wiland,128,73,57%,0,0,Malmö
Roberto,127,97,76%,0,0,Olympiacos
Gianluigi Buffon,122,107,88%,0,0,Juventus
David de Gea,121,106,88%,0,0,Man. United
Júlio César,120,104,87%,0,0,Benfica
Nenad Eric,113,69,61%,0,0,Astana
Jaume Doménech,108,67,62%,0,0,Valencia
Predrag Rajkovic,105,66,63%,0,0,M. Tel-Aviv
Anthony Lopes,103,87,84%,0,0,Lyon
Asmir Begovic,101,78,77%,0,0,Chelsea
Joe Hart,101,61,60%,0,0,Man. City
Bernd Leno,100,71,71%,0,0,Leverkusen
Petr Cech,81,52,64%,0,0,Arsenal
Keylor Navas,79,67,85%,0,0,Real Madrid
Jan Oblak,79,57,72%,0,0,Atlético
Yuri Lodygin,74,49,66%,0,0,Zenit
David Ospina,41,33,80%,0,0,Arsenal
Mikhail Kerzhakov,36,23,64%,0,0,Zenit
Kiko Casilla,33,23,70%,0,0,Real Madrid
Olexandr Rybka,24,20,83%,0,0,Dynamo Kyiv
Anton Kanibolotskiy,18,13,72%,0,0,Shakhtar Donetsk
Morgan De Sanctis,14,11,79%,0,0,Roma
Willy Caballero,4,3,75%,0,0,Man. City
Last updated: 26/11/2015 23:41 CET,,,,,,
,,,,,,
Legend:,,,,,,
,,,,,,
PA: Passes attempted   ,,,,,,
PC: Passes completed   ,,,,,,
PC %: Passes completion %   ,,,,,,
CA: Crosses attempted   ,,,,,,
CC: Crosses completed   ,,,,,,
