Player,PA,PC,PC %,CA,CC,Team
Thiago Motta,574,538,94%,2,2,Paris
Thiago Alcántara,452,412,91%,6,3,Bayern
Toni Kroos,422,401,95%,21,6,Real Madrid
Cesc Fàbregas,380,333,88%,19,6,Chelsea
Gabi,368,315,86%,32,9,Atlético
Sergio Busquets,364,342,94%,0,0,Barcelona
Marco Verratti,364,341,94%,1,0,Paris
Fred,364,323,89%,0,0,Shakhtar Donetsk
Sven Kums,355,316,89%,1,0,Gent
Santi Cazorla,339,297,88%,19,3,Arsenal
Bastian Schweinsteiger,336,302,90%,1,1,Man. United
Tiago,322,284,88%,0,0,Atlético
Rúben Neves,318,277,87%,25,9,Porto
Casemiro,317,294,93%,3,1,Real Madrid
Blaise Matuidi,313,288,92%,10,3,Paris
Daniel Parejo,308,263,85%,14,4,Valencia
Ángel Di María,304,248,82%,39,9,Paris
Wesley Sneijder,302,254,84%,24,7,Galatasaray
Ivan Rakitic,296,259,88%,3,0,Barcelona
Mesut Özil,296,249,84%,23,9,Arsenal
Grzegorz Krychowiak,294,281,96%,1,1,Sevilla
Xabi Alonso,294,277,94%,5,2,Bayern
Corentin Tolisso,294,259,88%,1,0,Lyon
Granit Xhaka,293,261,89%,1,0,Mönchengladbach
Kevin Kampl,293,252,86%,2,0,Leverkusen
Daley Blind,291,261,90%,13,5,Man. United
Isco,287,255,89%,9,3,Real Madrid
Éver Banega,286,236,83%,15,5,Sevilla
Yaya Touré,275,251,91%,1,0,Man. City
Morgan Schneiderlin,270,244,90%,1,0,Man. United
Koke,266,217,82%,19,8,Atlético
Luka Modric,265,247,93%,2,0,Real Madrid
Fernandinho,265,236,89%,1,0,Man. City
Serhiy Rybalka,265,226,85%,4,1,Dynamo Kyiv
Arturo Vidal,257,240,93%,1,0,Bayern
Danilo,257,227,88%,2,0,Porto
Danny,256,215,84%,5,2,Zenit
Renato Neto,254,229,90%,1,0,Gent
Jordan Ferri,250,227,91%,7,0,Lyon
Selçuk Inan,243,209,86%,2,1,Galatasaray
Alan Dzagoev,242,199,82%,7,4,CSKA Moskva
Gal Alberman,240,218,91%,0,0,M. Tel-Aviv
Paul Pogba,238,199,84%,7,1,Juventus
Marlos,234,219,94%,6,0,Shakhtar Donetsk
Maxime Gonalons,228,213,93%,0,0,Lyon
Mateo Kovacic,228,210,92%,1,1,Real Madrid
Saúl Ñíguez,228,199,87%,3,1,Atlético
Axel Witsel,227,206,91%,0,0,Zenit
Paulo Machado,226,192,85%,21,4,Dinamo Zagreb
