Rank,Previous Rank,Name,Country,Earnings
1,1,Serena Williams,USA,9297645
2,2,Maria Sharapova,Russia,3285949
3,5,Simona Halep,Romania,2531175
4,4,Lucie Safarova,Czech Republic,2410499
5,3,Garbine Muguruza,Spain,2390781
6,6,Petra Kvitova,Czech Republic,1557716
7,7,Carla Suarez Navarro,Spain,1498667
8,8,Ekaterina Makarova,Russia,1495843
9,9,Timea Bacsinszky,Switzerland,1411752
10,11,Agnieszka Radwanska,Poland,1312198
11,10,Madison Keys,USA,1266291
12,28,Belinda Bencic,Switzerland,1175186
13,13,Bethanie Mattek-Sands,USA,1103317
14,12,Karolina Pliskova ,Czech Republic,1072974
15,14,Ana Ivanovic,Serbia,1013433
16,15,Angelique Kerber,Germany,971859
17,16,Victoria Azarenka,Belarus,925366
18,24,Sara Errani,Italy,903594
19,17,Martina Hingis,Switzerland,897237
20,18,Jelena Jankovic,Serbia,895460
21,19,Caroline Wozniacki,Denmark,859276
22,20,Kristina Mladenovic,France,833388
23,21,Andrea Petkovic,Germany,831577
24,22,Elina Svitolina,Ukraine,800767
25,23,Venus Williams,USA,789840
26,27,Sabine Lisicki,Germany,781681
27,26,Sania Mirza,India,780232
28,25,Svetlana Kuznetsova,Russia,773620
29,29,Elena Vesnina,Russia,684498
30,30,Flavia Pennetta,Italy,683573
31,31,Irina-Camelia Begu,Romania,673130
32,36,Caroline Garcia,France,663361
33,32,Coco Vandeweghe,USA,659047
34,34,Samantha Stosur,Australia,657623
35,33,Casey Dellacqua,Australia,656381
36,35,Sloane Stephens,USA,650954
37,37,Julia Goerges,Germany,608793
38,40,Alize Cornet,France,571942
39,38,Yaroslava Shvedova,Kazakhstan,563787
40,42,Barbora Zahlavova Strycova,Czech Republic,557925
41,39,Timea Babos,Hungary,555803
42,41,Zarina Diyas,Kazakhstan,549759
43,43,Eugenie Bouchard,Canada,525175
44,44,Lucie Hradecka,Czech Republic,505939
45,46,Alison Van Uytvanck,Belgium,483800
46,45,Monica Niculescu,Romania,476958
47,49,Daria Gavrilova,Russia,464660
48,47,Anastasia Pavlyuchenkova,Russia,449666
49,50,Heather Watson,Great Britain,446072
50,48,Camila Giorgi,Italy,437031
51,51,Madison Brengle,USA,419840
52,52,Dominika Cibulkova,Slovakia,413924
53,59,Roberta Vinci,Italy,399634
54,63,Lesia Tsurenko,Ukraine,389710
55,54,Varvara Lepchenko,USA,383962
56,53,Tsvetana Pironkova,Bulgaria,381447
57,55,Ajla Tomljanovic,Croatia,380871
58,56,Magdalena Rybarikova,Slovakia,370366
59,57,Daniela Hantuchova,Slovakia,367099
60,58,Karin Knapp,Italy,358003
61,60,Silvia Soler-Espinosa,Spain,340156
62,61,Christina McHale,USA,334937
63,62,Anna Karolina Schmiedlova,Slovakia,334618
64,64,Mona Barthel,Germany,329419
65,68,Mirjana Lucic-Baroni,Croatia,328182
66,66,Lara Arruabarrena-Vecino,Spain,323043
67,65,Tatjana Maria,Germany,320779
68,69,Yanina Wickmayer,Belgium,317197
69,67,Johanna Larsson,Sweden,316892
70,70,Alexandra Dulgheru,Romania,303774
71,71,Annika Beck,Germany,302239
72,79,Carina Witthoeft,Germany,302207
73,73,Irina Falconi,USA,300976
74,72,Kurumi Nara,Japan,299764
75,74,Jarmila Gajdosova,Australia,296040
76,75,Francesca Schiavone,Italy,282606
77,76,Saisai Zheng,China,281778
78,77,Katerina Siniakova,Czech Republic,280354
79,84,Olga Govortsova,Belarus,277926
80,78,Andreea Mitu,Romania,277787
81,89,Polona Hercog,Slovenia,274547
82,80,Aleksandra Krunic,Serbia,273498
83,81,Lauren Davis,USA,271926
84,86,Alison Riske,USA,271020
85,82,Su-Wei Hsieh,Chinese Taipei,269311
86,83,Klara Zakopalova,Czech Republic,266546
87,87,Monica Puig,Puerto Rico,264199
88,85,Kiki Bertens,Netherlands,263394
89,90,Andrea Hlavackova,Czech Republic,253115
90,88,Bojana Jovanovski,Serbia,248259
91,91,Shuai Peng,China,244307
92,92,Tereza Smitkova,Czech Republic,242111
93,100,Katarina Srebotnik,Slovenia,241762
94,93,Kirsten Flipkens,Belgium,233367
95,95,Yulia Putintseva,Kazakhstan,232914
96,94,Marina Erakovic,New Zealand,231803
97,98,Denisa Allertova,Czech Republic,229744
98,96,Teliana Pereira,Brazil,229372
99,97,Alla Kudryavtseva,Russia,227640
100,99,Ana Konjuh,Croatia,225278
