Player,Assists,Time,Team,Position
Lionel Messi,6,1147,Barcelona¾,3
Andres Iniesta,5,786,Barcelona¾,2
Bastian Schweinsteiger,4,456,Bayern¾,2
Cesc Fabregas,4,696,Chelsea¾,2
Koke,4,833,Atl_tico¾,2
Dani Alves,4,961,Barcelona¾,1
Cristiano Ronaldo,4,1065,Real Madrid¾,3
Pajtim Kasami,3,391,Olympiacos¾,3
Lukasz Piszczek,3,392,Dortmund¾,1
Pedro Rodriguez,3,397,Barcelona¾,4
Eden Hazard,3,654,Chelsea¾,4
Fabian Frei,3,670,Basel¾,3
Yacine Brahimi,3,682,Porto¾,4
Karim Bellarabi,3,712,Leverkusen¾,2
Thomas Muller,3,777,Bayern¾,3
Hector Herrera,3,789,Porto¾,2
Gregory van der Wiel,3,812,Paris¾,2
Luis Suarez,3,827,Barcelona¾,3
Paul Pogba,3,833,Juventus¾,2
Juanfran,3,930,Atl_tico¾,2
Robert Lewandowski,3,932,Bayern¾,3
Toni Kroos,3,968,Real Madrid¾,3
Jerome Boateng,3,990,Bayern¾,1
Carlos Tevez,3,1156,Juventus¾,3
Rafinha,2,114,Barcelona¾,2
Bernard,2,158,Shakhtar Donetsk¾,4
Ricardo Kishna,2,241,Ajax¾,3
Juan Manuel Iturbe,2,244,Roma¾,3
Arkadiusz Milik,2,256,Ajax¾,3
Jefferson,2,270,Sporting CP,1
