Player,Total,Time,Team,Position
Neymar,10,1026,Barcelonaæ,3
Cristiano Ronaldo,10,1065,Real Madridæ,3
Lionel Messi ,10,1147,Barcelonaæ,3
Luiz Adriano,9,628,Shakhtar Donetskæ,3
Jackson Martinez,7,629,Portoæ,3
Thomas Muller,7,777,Bayernæ,2
Luis Suarez,7,827,Barcelonaæ,3
Carlos Tevez,7,1156,Juventusæ,3
Sergio Aguero,6,550,Man. Cityæ,3
Karim Benzema,6,664,Real Madridæ,3
Edinson Cavani,6,920,Parisæ,3
Robert Lewandowski,6,932,Bayernæ,3
Klaas-Jan Huntelaar,5,663,Schalkeæ,3
Yacine Brahimi,5,682,Portoæ,2
Alvaro Morata,5,744,Juventusæ,3
Mario Mandzukic,5,832,Atl_ticoæ,3
Ciro Immobile,4,404,Dortmundæ,3
Nani,4,449,Sporting CPæ,2
Mario Gotze,4,747,Bayernæ,2
Adriàn Ramos,3,98,Dortmundæ,3
Lukas Podolski,3,127,Arsenalæ,4
Vincent Aboubakar,3,271,Portoæ,3
Marco Reus,3,341,Dortmundæ,4
Franck Ribery,3,387,Bayernæ,2
Aaron Ramsey,3,404,Arsenalæ,2
Seydou Doumbia,3,405,CSKA Moskvaæ,3
Gervinho,3,434,,3
Ricardo Quaresma,3,469,Portoæ,2
Danny Welbeck,3,500,Arsenalæ,3
Lasse Schone,3,501,Ajaxæ,3
